candidate_id,condition,ablation,prompt_id,n_idx,calibrated_luar,neg_burrows,burrows_delta,distinct_1,distinct_2,dual_repaired,dist_c1_centroid,heldout_fidelity,copy_rate,copy_flag
C2_none_p07_k4,C2,none,p07,4,-5.3738,-2.0984,2.0984,0.5342,0.8874,0.2673,0.4138,0.052621,,
C2_none_p07_k2,C2,none,p07,2,-2.1797,-2.0129,2.0129,0.5576,0.9247,0.2119,0.3545,0.062208,,
C2_none_p07_k3,C2,none,p07,3,-0.0288,-1.9336,1.9336,0.6043,0.9491,0.2246,0.3512,0.063304,,
C2_none_p07_k5,C2,none,p07,5,-4.002,-2.0196,2.0196,0.5914,0.9364,0.2391,0.3022,0.067613,,
C2_none_p07_k6,C2,none,p07,6,-4.9609,-1.9363,1.9363,0.5968,0.9335,0.2288,0.3791,0.059986,,
C2_none_p07_k7,C2,none,p07,7,-6.8784,-2.2207,2.2207,0.5726,0.9021,0.2097,0.3807,0.055949,,
C2_none_p08_k1,C2,none,p08,1,-7.0015,-2.189,2.189,0.5026,0.8997,0.3842,0.5456,0.03404,,
C2_none_p08_k0,C2,none,p08,0,-5.8097,-2.0747,2.0747,0.566,0.944,0.263,0.4754,0.045056,,
C2_none_p08_k2,C2,none,p08,2,-7.2625,-2.2449,2.2449,0.6125,0.9629,0.3149,0.496,0.032843,,
C2_none_p08_k3,C2,none,p08,3,-12.027,-1.839,1.839,0.5547,0.9582,0.2875,0.4535,0.026045,,
C2_none_p08_k4,C2,none,p08,4,-6.7951,-2.1574,2.1574,0.555,0.9409,0.2856,0.5355,0.037254,,
C2_none_p08_k5,C2,none,p08,5,-5.8757,-2.0695,2.0695,0.5948,0.9531,0.3029,0.4688,0.028191,,
C2_none_p08_k6,C2,none,p08,6,-9.5726,-2.1552,2.1552,0.5648,0.9538,0.3157,0.4752,0.041737,,
C2_none_p08_k7,C2,none,p08,7,-7.0974,-2.0733,2.0733,0.5973,0.9478,0.2822,0.4855,0.045058,,
C2_none_p09_k0,C2,none,p09,0,-10.2496,-1.9114,1.9114,0.5818,0.9531,0.3762,0.2405,0.028411,,
C2_none_p09_k1,C2,none,p09,1,-5.3334,-1.9674,1.9674,0.6296,0.9771,0.4306,0.2669,0.044845,,
C2_none_p09_k2,C2,none,p09,2,-8.9757,-1.8501,1.8501,0.5782,0.9441,0.484,0.2624,0.042631,,
C2_none_p09_k3,C2,none,p09,3,-7.0333,-1.9781,1.9781,0.585,0.9348,0.4516,0.2941,0.045693,,
C2_none_p09_k4,C2,none,p09,4,-6.7784,-2.0364,2.0364,0.6046,0.9463,0.4215,0.3067,0.04635,,
C2_none_p09_k6,C2,none,p09,6,-7.4384,-2.0238,2.0238,0.6371,0.9722,0.4477,0.25,0.031448,,
C2_none_p09_k5,C2,none,p09,5,-10.0843,-1.9383,1.9383,0.622,0.9785,0.4443,0.2263,0.034895,,
C2_none_p09_k7,C2,none,p09,7,-12.5893,-1.8495,1.8495,0.6105,0.9578,0.4391,0.2759,0.022995,,
